Name	Type	Location	Value
 %1564	integer	%1564	31 (31)
 %1565	integer	%1565	10 (10)
 %1568	integer	%1568	6 (6)
 %1569	integer	%1569	6 (6)
 %1571	integer	%1571	10 (10)
 %1574	integer	%1574	2716 (2716)
 %1575	integer	%1575	2716 (2716)
 %1578	integer	%1578	-2147483648 (2147483648)
 %1579	integer	%1579	-2147483648 (2147483648)
 %1582	integer	%1582	2026 (2026)
 %1583	integer	%1583	2026 (2026)
 %1584	integer	%1584	0 (0)
 %1585	integer	%1585	0 (0)
 %1586	integer	%1586	1 (1)
 %1587	integer	%1587	1 (1)
 %1588	integer	%1588	6 (6)
 %1609	integer	%1609	4 (4)
 %1610	integer	%1610	1 (1)
 %1612	integer	%1612	24 (24)
 %1614	integer	%1614	31 (31)
 %1616	integer	%1616	10 (10)
 %1620	float	%1620	0.988159180 (1065154560)
 %1621	float	%1621	0.472025126 (1056025927)
 %1622	float	%1622	1.64119685 (1070731965)
 %1623	float	%1623	0.560959697 (1057987342)
 %1624	float	%1624	-0.454943210 (3202936401)
 %1625	float	%1625	-1.70232117 (3218728361)
 %1626	float	%1626	0.534364104 (1057541142)
 %1627	float	%1627	-0.688666463 (3207613554)
 %1628	float	%1628	2.62152433 (1076348686)
 %1629	float	%1629	-0.655826211 (3207062586)
 %1630	float	%1630	-0.318229973 (3198349066)
 %1631	float	%1631	1.61019146 (1070471873)
 %1632	float	%1632	2.66156244 (1076516618)
 %1633	float	%1633	0.00000000 (0)
 %1634	float	%1634	0.00000000 (0)
 %1635	integer	%1635	2 (2)
 %1636	integer	%1636	2 (2)
 %1637	integer	%1637	1 (1)
 %1639	integer	%1639	24 (24)
 %1641	integer	%1641	31 (31)
 %1643	integer	%1643	10 (10)
 %1646	float	%1646	0.0352783203 (1024491520)
 %1647	integer	%1647	77 (77)
 %1648	float	%1648	0.952880859 (1064562688)
 %1649	integer	%1649	3 (3)
 %1650	float	%1650	0.442562521 (1055037326)
 %1651	float	%1651	1.59687781 (1070360190)
 %1652	float	%1652	0.514634371 (1057210132)
 %1653	float	%1653	-0.433010638 (3202200466)
 %1654	float	%1654	-1.63843358 (3218192433)
 %1655	float	%1655	0.509816706 (1057129305)
 %1656	float	%1656	-0.705814362 (3207901248)
 %1657	float	%1657	2.50108910 (1075843544)
 %1658	float	%1658	-0.650480211 (3206972895)
 %1659	float	%1659	-0.269122928 (3196701307)
 %1660	float	%1660	1.55981112 (1070049252)
 %1661	float	%1661	2.56919813 (1076129214)
 %1662	float	%1662	0.00000000 (0)
 %1663	float	%1663	0.00000000 (0)
 %1664	integer	%1664	77 (77)
 %1665	integer	%1665	11343 (11343)
 %1668	integer	%1668	77 (77)
 %1669	integer	%1669	2103 (2103)
 %1672	integer	%1672	77 (77)
 %1673	integer	%1673	2793 (2793)
 %1676	float	%1676	0.835147321 (1062587447)
 %1677	float	%1677	-1.81095994 (3219639689)
 %1678	float	%1678	-0.151538163 (3189451986)
 %1679	float	%1679	0.00000000 (0)
 %1681	float	%1681	1.25626981 (1067502963)
 %1682	float	%1682	0.695821643 (1060249950)
 %1683	float	%1683	-1.39198935 (3216125109)
 %1684	float	%1684	0.00000000 (0)
 %1686	float	%1686	1.31313801 (1067980008)
 %1687	float	%1687	0.486074060 (1056497331)
 %1688	float	%1688	1.42808211 (1068944229)
 %1690	float	%1690	-0.621701241 (3206490064)
