Name	Type	Location	Value
 %1485	float	%1485	0.911752164
 %1486	float	%1486	0.291671395
 %1487	float	%1487	-0.289198190
 %1488	float	%1488	0.911621094
 %1489	float	%1489	0.291748047
 %1490	float	%1490	-0.289306641
 %1491	float	%1491	1.12720466
 %1492	float	%1492	4.09921169
 %1493	float	%1493	3.84795499
 %1494	float	%1494	3.50464201
 %1495	float	%1495	-5.80377007
 %1496	float	%1496	-5.05588150
 %1497	float	%1497	-4.71813631
 %1498	float	%1498	-1.81953144
 %1499	float	%1499	-2.10085011
 %1500	float	%1500	-2.70847106
 %1501	float	%1501	-3.49010372
 %1502	float	%1502	-0.730867386
 %1505	integer	%1505	1114258 (1.56140802e-39)
 %1506	integer	%1506	1114258 (1.56140802e-39)
 %1507	integer	%1507	128 (1.79366203e-43)
 %1508	integer	%1508	0 (0.00000000)
 %1510	integer	%1510	15 (2.10194770e-44)
 %1511	float	%1511	15.0000000
 %1512	float	%1512	1.00000000
 %1518	float	%1518	1.00000000
 %1521	float	%1521	0.00000000
 %1522	float	%1522	0.00000000
 %1523	float	%1523	1.00000000
 %1524	float	%1524	1.00000000
 %1525	float	%1525	1.00000000
 %1526	integer	%1526	0 (0.00000000)
 %1533	integer	%1533	0 (0.00000000)
 %1534	integer	%1534	0 (0.00000000)
 %1535	float	%1535	0.509765625
 %1536	float	%1536	0.372558594
 %1537	float	%1537	0.0705566406
 %1538	float	%1538	0.0352783203
 %1539	float	%1539	0.00784301758
 %1540	float	%1540	0.00000000
 %1541	float	%1541	0.00000000
 %1542	float	%1542	0.00000000
 %1545	integer	%1545	24 (3.36311631e-44)
 %1546	integer	%1546	24 (3.36311631e-44)
 %1549	integer	%1549	11266 (1.57870285e-41)
 %1550	integer	%1550	11266 (1.57870285e-41)
 %1553	integer	%1553	17957138 (2.68167328e-38)
 %1554	integer	%1554	17957138 (2.68167328e-38)
 %1555	integer	%1555	274 (3.83955779e-43)
 %1558	integer	%1558	2031647 (2.84694382e-39)
 %1559	integer	%1559	2031647 (2.84694382e-39)
 %1562	integer	%1562	589834 (8.26533478e-40)
 %1563	integer	%1563	589834 (8.26533478e-40)
 %1564	integer	%1564	31 (4.34402524e-44)
 %1565	integer	%1565	10 (1.40129846e-44)
 %1568	integer	%1568	6 (8.40779079e-45)
 %1569	integer	%1569	6 (8.40779079e-45)
 %1571	integer	%1571	10 (1.40129846e-44)
 %1574	integer	%1574	2716 (3.80592663e-42)
 %1575	integer	%1575	2716 (3.80592663e-42)
 %1578	integer	%1578	-2147483648 (-0.00000000)
 %1579	integer	%1579	-2147483648 (-0.00000000)
 %1582	integer	%1582	2026 (2.83903069e-42)
 %1583	integer	%1583	2026 (2.83903069e-42)
 %1584	integer	%1584	0 (0.00000000)
 %1585	integer	%1585	0 (0.00000000)
 %1586	integer	%1586	1 (1.40129846e-45)
 %1587	integer	%1587	1 (1.40129846e-45)
 %1588	integer	%1588	6 (8.40779079e-45)
 %1609	integer	%1609	4 (5.60519386e-45)
 %1610	integer	%1610	1 (1.40129846e-45)
 %1612	integer	%1612	24 (3.36311631e-44)
 %1614	integer	%1614	31 (4.34402524e-44)
 %1616	integer	%1616	10 (1.40129846e-44)
 %1620	float	%1620	0.988159180
 %1621	float	%1621	0.472025126
 %1622	float	%1622	1.64119685
 %1623	float	%1623	0.560959697
 %1624	float	%1624	-0.454943210
 %1625	float	%1625	-1.70232117
 %1626	float	%1626	0.534364104
 %1627	float	%1627	-0.688666463
 %1628	float	%1628	2.62152433
 %1629	float	%1629	-0.655826211
 %1630	float	%1630	-0.318229973
 %1631	float	%1631	1.61019146
 %1632	float	%1632	2.66156244
