"Index","Launch Debugger","Vertex_ID","Primitive_ID","Instance_ID","SV_POSITION_C0","SV_POSITION_C1","SV_POSITION_C2","SV_POSITION_C3","TEXCOORD2_C0","TEXCOORD2_C1","TEXCOORD2_C2","TEXCOORD3_C0","TEXCOORD3_C1"
"[22026]",,"4063","7342","0","1.60322","-8.08774","0.2","24.6447","-0.87207","0.370605","0.319336","201","255"
"[22027]",,"3992","7342","0","1.43531","-8.28768","0.2","24.6525","-0.913086","-0.246094","0.325195","201","255"
"[22028]",,"4100","7342","0","1.35816","-8.09176","0.2","24.6562","-0.825684","0.394531","0.402832","201","255"
"[22029]",,"3992","7343","0","1.43531","-8.28768","0.2","24.6525","-0.913086","-0.246094","0.325195","201","255"
"[22030]",,"4063","7343","0","1.60322","-8.08774","0.2","24.6447","-0.87207","0.370605","0.319336","201","255"
"[22031]",,"4125","7343","0","1.6194","-8.24363","0.2","24.6528","-0.935547","-0.280029","0.215088","201","255"
"[22032]",,"4125","7344","0","1.6194","-8.24363","0.2","24.6528","-0.935547","-0.280029","0.215088","201","255"
"[22033]",,"4115","7344","0","1.50919","-8.42846","0.2","24.7457","-0.862305","-0.502441","-0.0639038","201","255"
"[22034]",,"3992","7344","0","1.43531","-8.28768","0.2","24.6525","-0.913086","-0.246094","0.325195","201","255"
"[22035]",,"4115","7345","0","1.50919","-8.42846","0.2","24.7457","-0.862305","-0.502441","-0.0639038","201","255"
"[22036]",,"4125","7345","0","1.6194","-8.24363","0.2","24.6528","-0.935547","-0.280029","0.215088","201","255"
"[22037]",,"4109","7345","0","1.65077","-8.35788","0.2","24.7316","-0.709961","-0.702148","0.057312","201","255"
"[22038]",,"4109","7346","0","1.65077","-8.35788","0.2","24.7316","-0.709961","-0.702148","0.057312","201","255"
"[22039]",,"4064","7346","0","1.61686","-8.46738","0.2","24.8631","-0.557129","-0.791504","-0.251953","201","255"
"[22040]",,"4115","7346","0","1.50919","-8.42846","0.2","24.7457","-0.862305","-0.502441","-0.0639038","201","255"
"[22041]",,"4064","7347","0","1.61686","-8.46738","0.2","24.8631","-0.557129","-0.791504","-0.251953","201","255"
"[22042]",,"4109","7347","0","1.65077","-8.35788","0.2","24.7316","-0.709961","-0.702148","0.057312","201","255"
"[22043]",,"4065","7347","0","1.68724","-8.42348","0.2","24.8381","-0.430908","-0.898926","-0.0780029","201","255"
"[22044]",,"4109","7348","0","1.65077","-8.35788","0.2","24.7316","-0.709961","-0.702148","0.057312","201","255"
"[22045]",,"3900","7348","0","1.84468","-8.35807","0.2","24.7896","-0.477539","-0.877441","0.0443726","201","255"
"[22046]",,"4065","7348","0","1.68724","-8.42348","0.2","24.8381","-0.430908","-0.898926","-0.0780029","201","255"
"[22047]",,"4100","7349","0","1.35816","-8.09176","0.2","24.6562","-0.825684","0.394531","0.402832","201","255"
"[22048]",,"3943","7349","0","1.35717","-8.31679","0.2","24.6818","-0.959473","-0.110229","0.259033","201","255"
"[22049]",,"4522","7349","0","1.26613","-8.16069","0.2","24.6716","-0.881348","0.344727","0.323486","201","255"
"[22050]",,"4522","7350","0","1.26613","-8.16069","0.2","24.6716","-0.881348","0.344727","0.323486","201","255"
"[22051]",,"4066","7350","0","1.3547","-7.90732","0.2","24.7263","-0.503906","0.818848","0.274414","201","255"
"[22052]",,"4100","7350","0","1.35816","-8.09176","0.2","24.6562","-0.825684","0.394531","0.402832","201","255"
"[22053]",,"4108","7351","0","1.60529","-7.94422","0.2","24.6935","-0.590332","0.778809","0.210938","201","255"
"[22054]",,"4100","7351","0","1.35816","-8.09176","0.2","24.6562","-0.825684","0.394531","0.402832","201","255"
"[22055]",,"4066","7351","0","1.3547","-7.90732","0.2","24.7263","-0.503906","0.818848","0.274414","201","255"
"[22056]",,"4100","7352","0","1.35816","-8.09176","0.2","24.6562","-0.825684","0.394531","0.402832","201","255"
"[22057]",,"4108","7352","0","1.60529","-7.94422","0.2","24.6935","-0.590332","0.778809","0.210938","201","255"
"[22058]",,"4063","7352","0","1.60322","-8.08774","0.2","24.6447","-0.87207","0.370605","0.319336","201","255"
"[22059]",,"4086","7353","0","1.79288","-7.97593","0.2","24.6543","-0.592285","0.780762","0.198608","201","255"
"[22060]",,"4063","7353","0","1.60322","-8.08774","0.2","24.6447","-0.87207","0.370605","0.319336","201","255"
"[22061]",,"4108","7353","0","1.60529","-7.94422","0.2","24.6935","-0.590332","0.778809","0.210938","201","255"
"[22062]",,"4063","7354","0","1.60322","-8.08774","0.2","24.6447","-0.87207","0.370605","0.319336","201","255"
"[22063]",,"4086","7354","0","1.79288","-7.97593","0.2","24.6543","-0.592285","0.780762","0.198608","201","255"
"[22064]",,"3899","7354","0","1.78938","-8.09923","0.2","24.6198","-0.927734","0.163574","0.335449","201","255"
"[22065]",,"3899","7355","0","1.78938","-8.09923","0.2","24.6198","-0.927734","0.163574","0.335449","201","255"
"[22066]",,"4125","7355","0","1.6194","-8.24363","0.2","24.6528","-0.935547","-0.280029","0.215088","201","255"
"[22067]",,"4063","7355","0","1.60322","-8.08774","0.2","24.6447","-0.87207","0.370605","0.319336","201","255"
"[22068]",,"4125","7356","0","1.6194","-8.24363","0.2","24.6528","-0.935547","-0.280029","0.215088","201","255"
"[22069]",,"3899","7356","0","1.78938","-8.09923","0.2","24.6198","-0.927734","0.163574","0.335449","201","255"
"[22070]",,"3898","7356","0","1.80382","-8.21859","0.2","24.6611","-0.84375","-0.466553","0.264893","201","255"
"[22071]",,"3898","7357","0","1.80382","-8.21859","0.2","24.6611","-0.84375","-0.466553","0.264893","201","255"
"[22072]",,"4109","7357","0","1.65077","-8.35788","0.2","24.7316","-0.709961","-0.702148","0.057312","201","255"
"[22073]",,"4125","7357","0","1.6194","-8.24363","0.2","24.6528","-0.935547","-0.280029","0.215088","201","255"
"[22074]",,"4109","7358","0","1.65077","-8.35788","0.2","24.7316","-0.709961","-0.702148","0.057312","201","255"
"[22075]",,"3898","7358","0","1.80382","-8.21859","0.2","24.6611","-0.84375","-0.466553","0.264893","201","255"
"[22076]",,"3889","7358","0","1.81862","-8.29944","0.2","24.7133","-0.69873","-0.694824","0.1698","201","255"
"[22077]",,"3900","7359","0","1.84468","-8.35807","0.2","24.7896","-0.477539","-0.877441","0.0443726","201","255"
"[22078]",,"4109","7359","0","1.65077","-8.35788","0.2","24.7316","-0.709961","-0.702148","0.057312","201","255"
"[22079]",,"3889","7359","0","1.81862","-8.29944","0.2","24.7133","-0.69873","-0.694824","0.1698","201","255"
"[22080]",,"3889","7360","0","1.81862","-8.29944","0.2","24.7133","-0.69873","-0.694824","0.1698","201","255"
