"Index","Launch Debugger","Vertex_ID","Primitive_ID","Instance_ID","SV_POSITION_C0","SV_POSITION_C1","SV_POSITION_C2","SV_POSITION_C3","TEXCOORD2_C0","TEXCOORD2_C1","TEXCOORD2_C2","TEXCOORD3_C0","TEXCOORD3_C1"
"[1464]",,"1845","488","0","-5.61608","-9.90434","0.2","25.8197","0.947266","-0.277588","-0.161377","201","255"
"[1465]",,"1843","488","0","-5.6072","-9.74671","0.2","25.8312","0.993164","-0.102478","-0.0576782","201","255"
"[1466]",,"2029","488","0","-5.68699","-9.83936","0.2","25.8032","0.942383","-0.139526","0.303711","201","255"
"[1467]",,"1843","489","0","-5.6072","-9.74671","0.2","25.8312","0.993164","-0.102478","-0.0576782","201","255"
"[1468]",,"1833","489","0","-5.71259","-9.74728","0.2","25.7651","0.849609","0.171509","0.498779","201","255"
"[1469]",,"2029","489","0","-5.68699","-9.83936","0.2","25.8032","0.942383","-0.139526","0.303711","201","255"
"[1470]",,"1622","490","0","-5.72637","-9.79652","0.2","25.7477","0.790527","0.0215149","0.611816","201","255"
"[1471]",,"2029","490","0","-5.68699","-9.83936","0.2","25.8032","0.942383","-0.139526","0.303711","201","255"
"[1472]",,"1833","490","0","-5.71259","-9.74728","0.2","25.7651","0.849609","0.171509","0.498779","201","255"
"[1473]",,"1833","491","0","-5.71259","-9.74728","0.2","25.7651","0.849609","0.171509","0.498779","201","255"
"[1474]",,"1671","491","0","-5.73554","-9.71945","0.2","25.7043","0.67627","0.333252","0.656738","201","255"
"[1475]",,"1622","491","0","-5.72637","-9.79652","0.2","25.7477","0.790527","0.0215149","0.611816","201","255"
"[1476]",,"1671","492","0","-5.73554","-9.71945","0.2","25.7043","0.67627","0.333252","0.656738","201","255"
"[1477]",,"1833","492","0","-5.71259","-9.74728","0.2","25.7651","0.849609","0.171509","0.498779","201","255"
"[1478]",,"1832","492","0","-5.71584","-9.67984","0.2","25.7204","0.679199","0.466309","0.566895","201","255"
"[1479]",,"1333","493","0","-5.711","-9.60742","0.2","25.6365","0.261475","0.775391","0.574707","201","255"
"[1480]",,"1671","493","0","-5.73554","-9.71945","0.2","25.7043","0.67627","0.333252","0.656738","201","255"
"[1481]",,"1832","493","0","-5.71584","-9.67984","0.2","25.7204","0.679199","0.466309","0.566895","201","255"
"[1482]",,"1671","494","0","-5.73554","-9.71945","0.2","25.7043","0.67627","0.333252","0.656738","201","255"
"[1483]",,"1333","494","0","-5.711","-9.60742","0.2","25.6365","0.261475","0.775391","0.574707","201","255"
"[1484]",,"1577","494","0","-5.75953","-9.67637","0.2","25.6178","0.248901","0.652344","0.716309","201","255"
"[1485]",,"1333","495","0","-5.711","-9.60742","0.2","25.6365","0.261475","0.775391","0.574707","201","255"
