"Index","Launch Debugger","Vertex_ID","Primitive_ID","Instance_ID","SV_POSITION_C0","SV_POSITION_C1","SV_POSITION_C2","SV_POSITION_C3","TEXCOORD_C0","TEXCOORD_C1","TEXCOORD1_C0","TEXCOORD1_C1","TEXCOORD1_C2","TEXCOORD2_C0","TEXCOORD2_C1","TEXCOORD2_C2","TEXCOORD2_C3","TEXCOORD3_C0","TEXCOORD3_C1","TEXCOORD3_C2","TEXCOORD3_C3","TEXCOORD4"
"[31481]",,"3134","10493","0","-6.17597","-21.1693","0.2","23.689","2.14844","0.191284","-6.06363","-20.8903","23.2148","-0.506348","0.861328","0.0408936","1","-0.591797","-0.308105","-0.744629","-0.977539","196727"
"[31482]",,"3136","10494","0","-6.09139","-21.0371","0.2","23.6753","2.15234","0.198608","-5.98172","-20.752","23.2085","-0.18042","0.95166","0.248901","1","-0.884277","-0.0449524","-0.464355","-0.95752","196727"
"[31483]",,"3861","10494","0","-6.32234","-20.7379","0.2","23.7392","2.12891","0.204712","-6.21559","-20.4779","23.2938","-0.474609","0.879395","0.0412292","1","-0.578613","-0.273193","-0.768555","-0.973633","196727"
"[31484]",,"3134","10494","0","-6.17597","-21.1693","0.2","23.689","2.14844","0.191284","-6.06363","-20.8903","23.2148","-0.506348","0.861328","0.0408936","1","-0.591797","-0.308105","-0.744629","-0.977539","196727"
"[31485]",,"3134","10495","0","-6.17597","-21.1693","0.2","23.689","2.14844","0.191284","-6.06363","-20.8903","23.2148","-0.506348","0.861328","0.0408936","1","-0.591797","-0.308105","-0.744629","-0.977539","196727"
"[31486]",,"3261","10495","0","-5.91578","-21.5002","0.2","23.6109","2.17383","0.185547","-5.80037","-21.1919","23.1129","-0.254639","0.932617","0.255371","1","-0.859375","-0.0928955","-0.50293","-0.975098","196727"
"[31487]",,"3136","10495","0","-6.09139","-21.0371","0.2","23.6753","2.15234","0.198608","-5.98172","-20.752","23.2085","-0.18042","0.95166","0.248901","1","-0.884277","-0.0449524","-0.464355","-0.95752","196727"
"[31488]",,"3262","10496","0","-5.85065","-21.3423","0.2","23.5907","2.17578","0.195557","-5.73913","-21.0284","23.1035","-0.374756","0.90625","0.194458","1","-0.74707","-0.184204","-0.638672","-0.998047","196727"
"[31489]",,"3136","10496","0","-6.09139","-21.0371","0.2","23.6753","2.15234","0.198608","-5.98172","-20.752","23.2085","-0.18042","0.95166","0.248901","1","-0.884277","-0.0449524","-0.464355","-0.95752","196727"
"[31490]",,"3261","10496","0","-5.91578","-21.5002","0.2","23.6109","2.17383","0.185547","-5.80037","-21.1919","23.1129","-0.254639","0.932617","0.255371","1","-0.859375","-0.0928955","-0.50293","-0.975098","196727"
"[31491]",,"3261","10497","0","-5.91578","-21.5002","0.2","23.6109","2.17383","0.185547","-5.80037","-21.1919","23.1129","-0.254639","0.932617","0.255371","1","-0.859375","-0.0928955","-0.50293","-0.975098","196727"
"[31492]",,"5010","10497","0","-5.66278","-21.744","0.2","23.5407","2.19531","0.184692","-5.54636","-21.4098","23.0254","-0.357178","0.916016","0.18335","1","-0.786133","-0.176025","-0.592285","-0.996582","196727"
"[31493]",,"3262","10497","0","-5.85065","-21.3423","0.2","23.5907","2.17578","0.195557","-5.73913","-21.0284","23.1035","-0.374756","0.90625","0.194458","1","-0.74707","-0.184204","-0.638672","-0.998047","196727"
"[31494]",,"5009","10498","0","-5.54746","-21.5193","0.2","23.5804","2.19922","0.198853","-5.43482","-21.1867","23.0767","-0.480713","0.875","0.0609131","1","-0.67334","-0.313721","-0.669434","-0.991699","196727"
"[31495]",,"3262","10498","0","-5.85065","-21.3423","0.2","23.5907","2.17578","0.195557","-5.73913","-21.0284","23.1035","-0.374756","0.90625","0.194458","1","-0.74707","-0.184204","-0.638672","-0.998047","196727"
"[31496]",,"5010","10498","0","-5.66278","-21.744","0.2","23.5407","2.19531","0.184692","-5.54636","-21.4098","23.0254","-0.357178","0.916016","0.18335","1","-0.786133","-0.176025","-0.592285","-0.996582","196727"
"[31497]",,"3262","10499","0","-5.85065","-21.3423","0.2","23.5907","2.17578","0.195557","-5.73913","-21.0284","23.1035","-0.374756","0.90625","0.194458","1","-0.74707","-0.184204","-0.638672","-0.998047","196727"
"[31498]",,"5009","10499","0","-5.54746","-21.5193","0.2","23.5804","2.19922","0.198853","-5.43482","-21.1867","23.0767","-0.480713","0.875","0.0609131","1","-0.67334","-0.313721","-0.669434","-0.991699","196727"
"[31499]",,"5014","10499","0","-5.78357","-21.1657","0.2","23.6415","2.17773","0.207642","-5.67459","-20.8581","23.1661","-0.516113","0.85498","0.0542603","1","-0.588867","-0.286621","-0.755859","-0.979492","196727"
