submesh,gpu_id,candidate,vertex_id,nearest_distance,reforward_error,world_x,world_y,world_z,local_x,local_y,local_z
Wing,GpuId7157,glb_primitive_seg_z16,508,2.279142681,0.000000000,-10.603115557,-15.972279300,30.465123444,-3.434864480,1.351843425,-0.363012138
Wing,GpuId7157,glb_primitive_seg_z16,4627,2.279142681,0.000000000,-10.603115557,-15.972279300,30.465123444,-3.434864480,1.351843425,-0.363012138
Wing,GpuId7157,glb_primitive_seg_z16,485,2.271960293,0.000000000,-10.603115557,-15.972279300,30.465123444,-3.434326567,1.333165293,-0.388885754
Wing,GpuId7157,glb_primitive_seg_z16,486,2.271960293,0.000000000,-10.603115557,-15.972279300,30.465123444,-3.434326567,1.333165293,-0.388885754
Wing,GpuId7157,glb_primitive_seg_z16,4568,2.271960293,0.000000000,-10.603115557,-15.972279300,30.465123444,-3.434326567,1.333165293,-0.388885754
Wing,GpuId7157,glb_primitive_seg_z16,505,2.266715655,0.000000000,-10.603115557,-15.972279300,30.465123444,-3.408843913,1.390638283,-0.350327460
Wing,GpuId7157,glb_primitive_seg_z16,694,2.266715655,0.000000000,-10.603115557,-15.972279300,30.465123444,-3.408843913,1.390638283,-0.350327460
Wing,GpuId7157,glb_primitive_seg_z16,827,2.237085485,0.000000000,-10.603115557,-15.972279300,30.465123444,-3.372198328,1.473726858,-0.321606613
Wing,GpuId7157,glb_primitive_seg_z16,826,2.235669867,0.000000000,-9.784543963,-17.128314907,30.433885142,-3.498824122,0.859949075,-0.468544639
Wing,GpuId7157,glb_primitive_seg_z16,531,2.232426412,0.000000000,-10.603115557,-15.972279300,30.465123444,-3.406660196,1.371292861,-0.374998809
Wing,GpuId7157,glb_primitive_seg_z16,459,2.176076398,0.000000000,-10.603115557,-15.972279300,30.465123444,-3.388371868,1.421502390,-0.344583077
Wing,GpuId7157,glb_primitive_seg_z16,477,2.176076398,0.000000000,-10.603115557,-15.972279300,30.465123444,-3.388371868,1.421502390,-0.344583077
Wing,GpuId7157,glb_primitive_seg_z16,532,2.169697386,0.000000000,-10.603115557,-15.972279300,30.465123444,-3.377802326,1.440377871,-0.340846947
Wing,GpuId7157,glb_primitive_seg_z16,481,2.151595012,0.000000000,-10.603115557,-15.972279300,30.465123444,-3.318386803,1.592566633,-0.324291659
Wing,GpuId7157,glb_primitive_seg_z16,482,2.151593332,0.000000000,-10.603115557,-15.972279300,30.465123444,-3.378172358,1.437864446,-0.342542043
Wing,GpuId7157,glb_primitive_seg_z16,594,2.095932106,0.000000000,-10.603115557,-15.972279300,30.465123444,-3.280225479,1.683434273,-0.351372765
Wing,GpuId7157,glb_primitive_seg_z16,794,2.095932106,0.000000000,-10.603115557,-15.972279300,30.465123444,-3.280225479,1.683434273,-0.351372765
Wing,GpuId7157,glb_primitive_seg_z16,529,2.078033205,0.000000000,-10.603115557,-15.972279300,30.465123444,-3.320102213,1.552847782,-0.338746503
Wing,GpuId7157,glb_primitive_seg_z16,530,2.071661379,0.000000000,-10.603115557,-15.972279300,30.465123444,-3.275825054,1.703555334,-0.356824965
Wing,GpuId7157,glb_primitive_seg_z16,4675,2.053756672,0.000000000,-10.603115557,-15.972279300,30.465123444,-3.284655025,1.618964686,-0.358378462
Wing,GpuId7157,glb_primitive_seg_z16,804,2.037909171,0.000000000,-10.603115557,-15.972279300,30.465123444,-3.269342080,1.725220306,-0.369727861
Wing,GpuId7157,glb_primitive_seg_z16,803,2.030820077,0.000000000,-10.603115557,-15.972279300,30.465123444,-3.284774124,1.728864429,-0.350236198
Wing,GpuId7157,glb_primitive_seg_z16,461,2.016205509,0.000000000,-10.603115557,-15.972279300,30.465123444,-3.272445928,1.755427044,-0.358025858
Wing,GpuId7157,glb_primitive_seg_z16,5288,2.006470639,0.000000000,-10.603115557,-15.972279300,30.465123444,-3.281848672,1.619561144,-0.363367759
Wing,GpuId7157,glb_primitive_seg_z16,428,1.993688839,0.000000000,-10.603115557,-15.972279300,30.465123444,-3.298281361,1.602287358,-0.347520084
Wing,GpuId7157,glb_primitive_seg_z16,5327,1.993688839,0.000000000,-10.603115557,-15.972279300,30.465123444,-3.298281361,1.602287358,-0.347520084
Wing,GpuId7157,glb_primitive_seg_z16,3108,1.987767509,0.000000000,-10.507794945,-22.430197366,33.505053354,-5.814694718,1.498703830,0.581284343
Wing,GpuId7157,glb_primitive_seg_z16,4856,1.980336682,0.000000000,-10.603115557,-15.972279300,30.465123444,-3.286462707,1.603954484,-0.362930190
Wing,GpuId7157,glb_primitive_seg_z16,487,1.977697910,0.000000000,-10.603115557,-15.972279300,30.465123444,-3.321055332,1.711886964,-0.291243661
Wing,GpuId7157,glb_primitive_seg_z16,824,1.977697910,0.000000000,-10.603115557,-15.972279300,30.465123444,-3.321055332,1.711886964,-0.291243661
Wing,GpuId7157,glb_primitive_seg_z16,3283,1.973718661,0.000000000,-9.982195830,-22.408832021,32.203695283,-5.407821037,1.156922012,0.128990947
Wing,GpuId7157,glb_primitive_seg_z16,3109,1.969891560,0.000000000,-9.982195830,-22.408832021,32.203695283,-5.410946922,1.154103732,0.132653385
Wing,GpuId7157,glb_primitive_seg_z16,479,1.967267195,0.000000000,-9.784543963,-17.128314907,30.433885142,-3.359844021,1.301013152,-0.157242918
Wing,GpuId7157,glb_primitive_seg_z16,427,1.965720502,0.000000000,-10.603115557,-15.972279300,30.465123444,-3.275157365,1.708807819,-0.362957681
Wing,GpuId7157,glb_primitive_seg_z16,5286,1.965517810,0.000000000,-10.603115557,-15.972279300,30.465123444,-3.266912506,1.720188567,-0.365351553
Wing,GpuId7157,glb_primitive_seg_z16,877,1.965426896,0.000000000,-9.784543963,-17.128314907,30.433885142,-3.399592133,1.324378182,-0.120304177
Wing,GpuId7157,glb_primitive_seg_z16,4338,1.965426896,0.000000000,-9.784543963,-17.128314907,30.433885142,-3.399592133,1.324378182,-0.120304177
Wing,GpuId7157,glb_primitive_seg_z16,1055,1.937270219,0.000000000,-10.603115557,-15.972279300,30.465123444,-3.271278600,1.769110948,-0.369658634
Wing,GpuId7157,glb_primitive_seg_z16,4339,1.925139640,0.000000000,-9.784543963,-17.128314907,30.433885142,-3.400912076,1.324791276,-0.118854952
Wing,GpuId7157,glb_primitive_seg_z16,243,1.921457210,0.000000000,-9.982195830,-22.408832021,32.203695283,-5.409350138,1.155544553,0.131444897
Wing,GpuId7157,glb_primitive_seg_z16,396,1.921457210,0.000000000,-9.982195830,-22.408832021,32.203695283,-5.409350138,1.155544553,0.131444897
Wing,GpuId7157,glb_primitive_seg_z16,4154,1.921145610,0.000000000,-10.603115557,-15.972279300,30.465123444,-3.319856756,1.670273715,-0.283517472
Wing,GpuId7157,glb_primitive_seg_z16,5289,1.909717395,0.000000000,-10.603115557,-15.972279300,30.465123444,-3.260594990,1.721874583,-0.378697381
Wing,GpuId7157,glb_primitive_seg_z16,3489,1.906065759,0.000000000,-10.506143264,-26.072847888,36.593082008,-7.327764524,0.975508601,1.503307784
Wing,GpuId7157,glb_primitive_seg_z16,961,1.905785089,0.000000000,-10.482750003,-19.630277878,38.475507070,-5.152276001,2.103963045,3.389008409
Wing,GpuId7157,glb_primitive_seg_z16,5806,1.904550117,0.000000000,-6.470710581,-12.881329738,25.394051904,1.676418564,1.704125727,-0.656458380
Wing,GpuId7157,glb_primitive_seg_z16,2629,1.902401134,0.000000000,-10.506143264,-26.072847888,36.593082008,-7.327764524,0.975508601,1.503307784
Wing,GpuId7157,glb_primitive_seg_z16,4272,1.895648782,0.000000000,-9.982195830,-22.408832021,32.203695283,-5.435903168,1.150766901,0.151529423
Wing,GpuId7157,glb_primitive_seg_z16,4189,1.893834418,0.000000000,-9.784543963,-17.128314907,30.433885142,-3.555447154,1.394945364,-0.031507118
Wing,GpuId7157,glb_primitive_seg_z16,779,1.893610799,0.000000000,-9.702585659,-17.967591906,30.496998505,-3.773741811,1.254240854,0.021911164
Wing,GpuId7157,glb_primitive_seg_z16,4153,1.893610799,0.000000000,-9.702585659,-17.967591906,30.496998505,-3.773741811,1.254240854,0.021911164
Wing,GpuId7157,glb_primitive_seg_z16,3500,1.893096415,0.000000000,-10.507794970,-24.111543907,33.566591084,-6.204738283,1.222536625,0.481686730
Wing,GpuId7157,glb_primitive_seg_z16,5297,1.884297266,0.000000000,-10.603115557,-15.972279300,30.465123444,-3.256460289,1.709479835,-0.386878776
Wing,GpuId7157,glb_primitive_seg_z16,2564,1.881026272,0.000000000,-10.506143264,-26.072847888,36.593082008,-7.327764524,0.975508601,1.503307784
Wing,GpuId7157,glb_primitive_seg_z16,4335,1.878485460,0.000000000,-9.784543963,-17.128314907,30.433885142,-3.400911775,1.328637917,-0.118432189
Wing,GpuId7157,glb_primitive_seg_z16,3160,1.877815284,0.000000000,-10.506143264,-26.072847888,36.593082008,-7.327764524,0.975508601,1.503307784
Wing,GpuId7157,glb_primitive_seg_z16,446,1.876518350,0.000000000,-10.603115557,-15.972279300,30.465123444,-3.254851526,1.708151837,-0.392123833
