submesh,gpu_id,vertex_id,nearest_distance,reforward_error,world_x,world_y,world_z,local_x,local_y,local_z
Wing,GpuId7157,5566,10.685819582,0.000000000,-5.279018093,-30.054994038,30.040289671,5.824992337,-1.723382036,-2.549163818
Wing,GpuId7157,4882,10.684993576,0.000000000,-5.282161912,-30.292061086,30.022428225,5.888965827,-1.633030977,-2.679477680
Wing,GpuId7157,4950,10.684993576,0.000000000,-5.282161912,-30.292061086,30.022428225,5.888965827,-1.633030977,-2.679477680
Wing,GpuId7157,3152,10.646632102,0.000000000,-5.279018093,-30.054994038,30.040289671,5.822821544,-1.707407908,-2.568591017
Wing,GpuId7157,5584,10.628276980,0.000000000,-5.279018093,-30.054994038,30.040289671,5.863655082,-1.930367011,-2.255839336
Wing,GpuId7157,6100,10.596343743,0.000000000,-5.279018093,-30.054994038,30.040289671,5.825051944,-1.655161667,-2.627223859
Wing,GpuId7157,3484,10.564139768,0.000000000,-4.552189337,-16.421283790,21.038499274,4.040136079,3.183320395,0.325514479
Wing,GpuId7157,3747,10.564139768,0.000000000,-4.552189337,-16.421283790,21.038499274,4.040136079,3.183320395,0.325514479
Wing,GpuId7157,3487,10.543699864,0.000000000,-5.279018093,-30.054994038,30.040289671,5.864574276,-1.927890450,-2.259418977
Wing,GpuId7157,3222,10.533670450,0.000000000,-5.279018093,-30.054994038,30.040289671,5.820178149,-1.670652801,-2.611339982
Wing,GpuId7157,3432,10.517129039,0.000000000,-4.698852660,-16.658073917,22.481721802,3.816174285,2.569504330,-0.007365813
Wing,GpuId7157,5574,10.502163486,0.000000000,-5.279018093,-30.054994038,30.040289671,5.847583911,-1.813616354,-2.429190967
Wing,GpuId7157,6103,10.496847774,0.000000000,-5.279018093,-30.054994038,30.040289671,5.823729826,-1.636122252,-2.648323960
Wing,GpuId7157,5564,10.472457961,0.000000000,-4.499035143,-16.377683127,20.406778214,4.149230248,3.447242788,0.463836518
Wing,GpuId7157,2703,10.462402612,0.000000000,-5.279018093,-30.054994038,30.040289671,5.826153240,-1.774324805,-2.486354200
Wing,GpuId7157,5601,10.441437563,0.000000000,-4.698852660,-16.658073917,22.481721802,3.816710828,2.567965521,-0.006751088
Wing,GpuId7157,5578,10.438770525,0.000000000,-5.279018093,-30.054994038,30.040289671,5.887646725,-2.016425788,-2.103114221
Wing,GpuId7157,5800,10.424035820,0.000000000,-5.279018093,-30.054994038,30.040289671,5.821154846,-1.632429726,-2.652986356
Wing,GpuId7157,4884,10.422112287,0.000000000,-5.279018093,-30.054994038,30.040289671,5.819873709,-1.648213129,-2.636238215
Wing,GpuId7157,3227,10.393927495,0.000000000,-5.279018093,-30.054994038,30.040289671,5.820182180,-1.635511955,-2.649931792
Wing,GpuId7157,5213,10.393927495,0.000000000,-5.279018093,-30.054994038,30.040289671,5.820182180,-1.635511955,-2.649931792
Wing,GpuId7157,6169,10.384623836,0.000000000,-5.279018093,-30.054994038,30.040289671,5.824068609,-1.692598276,-2.585398617
Wing,GpuId7157,5559,10.384050420,0.000000000,-5.279018093,-30.054994038,30.040289671,5.832243211,-1.898161712,-2.314769731
Wing,GpuId7157,2704,10.366962264,0.000000000,-5.279018093,-30.054994038,30.040289671,5.875124518,-2.000959509,-2.134995899
Wing,GpuId7157,2968,10.341819928,0.000000000,-5.279018093,-30.054994038,30.040289671,5.820615218,-1.725392630,-2.547976181
Wing,GpuId7157,3511,10.338096092,0.000000000,-4.552189337,-16.421283790,21.038499274,4.052864169,3.178949135,0.320775702
Wing,GpuId7157,3964,10.338096092,0.000000000,-4.552189337,-16.421283790,21.038499274,4.052864169,3.178949135,0.320775702
Wing,GpuId7157,2702,10.308057514,0.000000000,-5.279018093,-30.054994038,30.040289671,5.815122413,-1.870434898,-2.360285730
Wing,GpuId7157,3547,10.292339320,0.000000000,-4.698852660,-16.658073917,22.481721802,3.803302549,2.557612844,0.001943673
Wing,GpuId7157,6677,10.282395168,0.000000000,-5.279018093,-30.054994038,30.040289671,5.819566254,-1.660828633,-2.622445592
Wing,GpuId7157,3958,10.240783833,0.000000000,-4.552189337,-16.421283790,21.038499274,4.061452442,3.175211532,0.316614585
Wing,GpuId7157,4961,10.240783833,0.000000000,-4.552189337,-16.421283790,21.038499274,4.061452442,3.175211532,0.316614585
Wing,GpuId7157,5563,10.233723996,0.000000000,-4.499035143,-16.377683127,20.406778214,4.163267726,3.444268602,0.454462436
Wing,GpuId7157,5576,10.230109523,0.000000000,-5.279018093,-30.054994038,30.040289671,5.832357538,-1.963694836,-2.212214164
Wing,GpuId7157,3309,10.229558349,0.000000000,-5.279018093,-30.054994038,30.040289671,5.856703169,-2.086614269,-1.975757401
Wing,GpuId7157,2998,10.213298094,0.000000000,-5.279018093,-30.054994038,30.040289671,5.815433444,-1.685390328,-2.595981469
Wing,GpuId7157,6675,10.210465844,0.000000000,-5.279018093,-30.054994038,30.040289671,5.816977574,-1.657370330,-2.626962436
