draw_vertex_id,stored_vertex_index,raw_u16_x,raw_u16_y,raw_u16_z,raw_u16_w,local_x,local_y,local_z,pix_world_x,pix_world_y,pix_world_z,pix_uv_u,pix_uv_v,pix_normal_x,pix_normal_y,pix_normal_z,pix_tangent_x,pix_tangent_y,pix_tangent_z,pix_tangent_w,pix_texcoord4,raw_hex_0_7,raw_hex_8_39
20,17138,14705,14571,19056,22978,-0.049539883,1.740095223,-1.524043745,-10.926900000,-10.846800000,27.340900000,0.340088000,0.963379000,-0.703613000,0.699707000,-0.122864000,0.688965000,0.630859000,-0.357422000,0.823242000,196728,7139eb38704ac259,af987d56892072088f906108723e1916150c0000ffffffff914d8e32091c58e3
21,17139,14677,14598,18787,22993,-0.050839750,1.741740945,-1.553944392,-10.859800000,-10.755700000,27.262400000,0.316406000,0.967773000,-0.754395000,0.634766000,-0.167480000,0.646484000,0.671875000,-0.361816000,0.822754000,196728,553906396349d159,c8a4be51641872086d8cf1059b38110c0b040000ffffffff394e5132941cd0e0
22,17140,14690,14592,18844,22986,-0.050236240,1.741375229,-1.547608567,-10.841000000,-10.732200000,27.240900000,0.309814000,0.968262000,-0.743164000,0.664062000,-0.079589800,0.613281000,0.629883000,-0.475830000,0.745117000,196728,623900399c49ca59,717c2d5c64187208882432065e403e0e0b090000ffffffffdc4e2933a01c08e1
23,17141,14688,14581,18899,22985,-0.050329088,1.740704750,-1.541495052,-11.038100000,-10.890200000,27.502600000,0.383789000,0.962891000,-0.777344000,0.623047000,-0.084655800,0.629883000,0.764160000,-0.140869000,0.927734000,196728,6039f538d349c959,55643b5e861c4206888c910874331d1c17070000ffffffff244edd32741ca8d4
24,17142,14683,14587,18837,22987,-0.050561207,1.741070466,-1.548386651,-10.699300000,-10.651600000,26.997200000,0.249634000,0.962402000,-0.652344000,0.649414000,-0.390381000,0.682129000,0.728027000,0.070129400,0.986816000,196728,5b39fb389549cb59,3b407d61869071086320d2066f4f240f09040000fffffffffe51ec35f01d30f2
25,17143,14674,14530,19170,22964,-0.050979021,1.737596164,-1.511372096,-10.663000000,-10.673200000,26.967700000,0.240601000,0.957031000,-0.559082000,0.718262000,-0.414551000,0.669922000,0.684082000,0.288330000,0.998047000,196728,5239c238e24ab459,8d75d9006334b208992462066f422c0d0b0a0000ffffffff4852c735821d40e1
26,17144,14665,14535,19195,22970,-0.051396836,1.737900927,-1.508593225,-10.583900000,-10.708500000,26.916900000,0.223389000,0.946289000,-0.574219000,0.716797000,-0.395996000,0.588867000,0.697754000,0.408691000,0.981934000,196728,4939c738fb4aba59,cc6cfd086334b2085f98c108a2241e0c0a060000ffffffff30516f35491e16ca
27,17145,14692,14535,19101,22961,-0.050143393,1.737900927,-1.519041778,-10.625800000,-10.665500000,26.949500000,0.232422000,0.953125000,-0.561523000,0.704102000,-0.434814000,0.577148000,0.709961000,0.403809000,0.981445000,196728,6439c7389d4ab159,56d50f628d2c92088720320642352c281e150000ffffffffbe51ee35441e38f4
28,17146,14682,14528,19149,22960,-0.050607631,1.737474258,-1.513706347,-10.803400000,-10.698900000,27.188400000,0.295410000,0.971680000,-0.799316000,0.596191000,-0.072692900,0.573730000,0.719238000,-0.391846000,0.803711000,196728,5a39c038cd4ab059,9c3da9008d8cb1089924720853373522120b0000ffffffff5e51ec33bc1d56c8
29,17147,14704,14553,19116,22970,-0.049586307,1.738998075,-1.517374456,-10.774300000,-10.674500000,27.163300000,0.286865000,0.973633000,-0.815430000,0.578613000,-0.013748200,0.546875000,0.763672000,-0.342773000,0.829102000,196728,7039d938ac4aba59,f7d85f618920f208873442068c48131004040000ffffffff04541028781fc0f1
30,17148,14870,14618,19348,22963,-0.041879955,1.742959998,-1.491586538,-10.964200000,-10.841000000,27.377400000,0.351807000,0.961914000,-0.767090000,0.634277000,-0.097473100,0.638672000,0.740234000,-0.209961000,0.900391000,196728,163a1a39944bb359,6ba17c4a72d841077cd4e1084b41251e18180000fffffeff79519a33e41dc0ca
31,17149,14709,14552,19125,22968,-0.049354188,1.738937122,-1.516374063,-10.749000000,-10.650300000,27.117100000,0.275879000,0.973145000,-0.833008000,0.548340000,-0.072692900,0.529297000,0.751953000,-0.392334000,0.798340000,196728,7539d838b54ab859,e3681f668920f2088790d1088f3c230707030000ffffffffe24d1132e31a04cb
32,17150,14659,14618,18815,23008,-0.051675378,1.742959998,-1.550832057,-11.280800000,-10.912400000,27.787200000,0.463379000,0.944824000,-0.102722000,0.906250000,0.410156000,0.762695000,0.335205000,-0.553223000,0.613281000,196728,43391a397f49e059,6f5c6c0d64b4f105861ce205b225100c07050000ffffffffd84eba30e719a9c5
33,17151,14647,14645,18898,23023,-0.052232464,1.744605720,-1.541606207,-11.217600000,-10.990800000,27.747000000,0.447266000,0.930664000,0.851074000,0.502441000,-0.154175000,0.477051000,-0.859375000,-0.185059000,-0.338867000,196728,37393539d249ef59,7380fd0f6478d1065f503206b11f1c0b04040000ffffffff554fee314f1ad8ce
