submesh,gpu_id,vertex_id,stage1_direct_error,stage1_affine_error,u76_affine_error,local_x,local_y,local_z,stage1_world_x,stage1_world_y,stage1_world_z,stage1_affine_x,stage1_affine_y,stage1_affine_z,u76_affine_x,u76_affine_y,u76_affine_z,pix_world_x,pix_world_y,pix_world_z,codes,weights
Wing,GpuId7157,3971,27.827283332,1.090285565,2.509322441,5.415724960,1.716532515,3.518121045,12.194478396,-3.936479855,2.889973502,1.277147886,-21.868098253,20.076118716,0.878190843,-20.488535763,20.352016358,1.580610000,-22.896300000,20.274700000,79 76 77 0 0 0,219 31 5 0 0 0
Wing,GpuId7157,5071,27.779373422,1.088486235,2.518038601,5.426921012,1.637435243,3.573331816,12.245729690,-4.031419487,3.051692245,1.435243242,-22.029248521,20.135477973,1.044053656,-20.631990758,20.342134775,1.730650000,-23.054600000,20.350400000,79 76 77 0 0 0,218 32 5 0 0 0
Wing,GpuId7157,5073,27.779373422,1.088486235,2.518038601,5.426921012,1.637435243,3.573331816,12.245729690,-4.031419487,3.051692245,1.435243242,-22.029248521,20.135477973,1.044053656,-20.631990758,20.342134775,1.730650000,-23.054600000,20.350400000,79 76 77 0 0 0,218 32 5 0 0 0
Wing,GpuId7157,5070,27.815799974,1.088144060,2.546439784,5.450286685,1.643608178,3.571776583,12.262151171,-4.063785876,3.019749492,1.419120924,-22.092924352,20.107968404,1.025248566,-20.666517476,20.304953660,1.714620000,-23.117800000,20.323300000,79 76 77 0 0 0,218 32 5 0 0 0
Wing,GpuId7157,3892,27.797044579,1.087823460,2.529219291,5.438603848,1.638219938,3.572748604,12.252739231,-4.050082554,3.039420256,1.429553344,-22.065094034,20.124912051,1.037714071,-20.655594814,20.324930432,1.724620000,-23.089700000,20.340500000,79 76 77 0 0 0,218 32 5 0 0 0
Wing,GpuId7157,3968,27.866830983,1.086532865,2.542370042,5.451260255,1.696967449,3.527646847,12.220637392,-4.015557594,2.897091612,1.298331805,-22.013621181,20.066999418,0.899083869,-20.593519814,20.303059125,1.598120000,-23.037700000,20.271800000,79 76 77 0 0 0,218 32 5 0 0 0
Wing,GpuId7157,3844,27.780330235,1.086153951,2.457188871,5.395766781,1.678422487,3.530562909,12.178078260,-3.942608346,2.977622185,1.338553159,-21.868681026,20.137978427,0.949473738,-20.534411519,20.396886435,1.637430000,-22.892700000,20.342400000,79 76 77 0 0 0,219 31 5 0 0 0
Wing,GpuId7157,2695,27.833636568,1.085267508,2.489142274,5.415724960,1.707639303,3.509761668,12.173475677,-3.948325020,2.896400346,1.271453495,-21.886849694,20.096687335,0.875684673,-20.521434443,20.362690285,1.572310000,-22.910200000,20.296800000,79 76 77 0 0 0,219 32 5 0 0 0
Wing,GpuId7157,6642,27.833636568,1.085267508,2.489142274,5.415724960,1.707639303,3.509761668,12.173475677,-3.948325020,2.896400346,1.271453495,-21.886849694,20.096687335,0.875684673,-20.521434443,20.362690285,1.572310000,-22.910200000,20.296800000,79 76 77 0 0 0,219 32 5 0 0 0
Wing,GpuId7157,3171,38.764155852,1.084209750,2.947905302,-5.458075243,1.731964853,3.422863024,-11.219792945,-4.347610651,3.614908989,-10.484946323,-20.190207212,38.316100323,-10.648377421,-18.383393092,37.834396657,-10.199700000,-21.220000000,38.499600000,60 61 62 63 0 0,209 34 7 5 0 0
Wing,GpuId7157,3845,27.875359777,1.081271147,2.505842673,5.445905621,1.698170648,3.510150476,12.187097624,-4.008720608,2.884175697,1.270190523,-21.999148015,20.084709124,0.875534454,-20.610400432,20.324095549,1.568360000,-23.018300000,20.288600000,79 76 77 0 0 0,218 32 5 0 0 0
Wing,GpuId7157,6639,27.875359777,1.081271147,2.505842673,5.445905621,1.698170648,3.510150476,12.187097624,-4.008720608,2.884175697,1.270190523,-21.999148015,20.084709124,0.875534454,-20.610400432,20.324095549,1.568360000,-23.018300000,20.288600000,79 76 77 0 0 0,218 32 5 0 0 0
Wing,GpuId7157,5077,27.800610211,1.079570380,2.421621248,5.397227135,1.678657895,3.510928093,12.144488903,-3.948573675,2.958106054,1.305396911,-21.878124434,20.153146966,0.921466404,-20.572471386,20.410271425,1.601990000,-22.895900000,20.357200000,79 76 77 0 0 0,219 31 5 0 0 0
Wing,GpuId7157,6643,27.800610211,1.079570380,2.421621248,5.397227135,1.678657895,3.510928093,12.144488903,-3.948573675,2.958106054,1.305396911,-21.878124434,20.153146966,0.921466404,-20.572471386,20.410271425,1.601990000,-22.895900000,20.357200000,79 76 77 0 0 0,219 31 5 0 0 0
Wing,GpuId7157,2693,27.790837039,1.078801915,2.427056402,5.406962832,1.649911896,3.531534930,12.167889586,-3.992205513,3.012041512,1.361709310,-21.954239913,20.169177839,0.981030161,-20.639358625,20.398762687,1.655280000,-22.970800000,20.379500000,79 76 77 0 0 0,219 31 5 0 0 0
Wing,GpuId7157,5078,27.790837039,1.078801915,2.427056402,5.406962832,1.649911896,3.531534930,12.167889586,-3.992205513,3.012041512,1.361709310,-21.954239913,20.169177839,0.981030161,-20.639358625,20.398762687,1.655280000,-22.970800000,20.379500000,79 76 77 0 0 0,219 31 5 0 0 0
Wing,GpuId7157,2696,27.872664460,1.077540243,2.508645664,5.458075243,1.664350287,3.526091614,12.199942675,-4.063334503,2.940024397,1.322699176,-22.093954708,20.110775744,0.931776206,-20.695546037,20.313873419,1.616230000,-23.109000000,20.322000000,79 76 77 0 0 0,217 33 5 0 0 0
Wing,GpuId7157,2691,27.810025773,1.075461559,2.406267677,5.404528908,1.665291921,3.509761668,12.138167383,-3.975549146,2.970915678,1.312864587,-21.925181110,20.167413754,0.933212358,-20.628976577,20.409433414,1.606720000,-22.938800000,20.374400000,79 76 77 0 0 0,219 31 5 0 0 0
Wing,GpuId7157,2860,27.810025773,1.075461559,2.406267677,5.404528908,1.665291921,3.509761668,12.138167383,-3.975549146,2.970915678,1.312864587,-21.925181110,20.167413754,0.933212358,-20.628976577,20.409433414,1.606720000,-22.938800000,20.374400000,79 76 77 0 0 0,219 31 5 0 0 0
Wing,GpuId7157,3954,27.810025773,1.075461559,2.406267677,5.404528908,1.665291921,3.509761668,12.138167383,-3.975549146,2.970915678,1.312864587,-21.925181110,20.167413754,0.933212358,-20.628976577,20.409433414,1.606720000,-22.938800000,20.374400000,79 76 77 0 0 0,219 31 5 0 0 0
Wing,GpuId7157,5076,27.810025773,1.075461559,2.406267677,5.404528908,1.665291921,3.509761668,12.138167383,-3.975549146,2.970915678,1.312864587,-21.925181110,20.167413754,0.933212358,-20.628976577,20.409433414,1.606720000,-22.938800000,20.374400000,79 76 77 0 0 0,219 31 5 0 0 0
Wing,GpuId7157,3503,38.576732532,1.075328691,2.739422291,-5.353416498,1.700132386,3.412948414,-11.093456605,-4.232741650,3.731302381,-10.327940737,-19.982449660,38.275067493,-10.453828021,-18.372555315,37.812882773,-10.043900000,-21.003700000,38.455900000,60 61 62 63 0 0,214 31 6 5 0 0
Wing,GpuId7157,5075,27.832927497,1.074503633,2.448836773,5.434709569,1.643372770,3.528424464,12.175403348,-4.046526476,2.994753326,1.353053988,-22.055406544,20.158498042,0.971708717,-20.712789998,20.362620881,1.644060000,-23.067500000,20.371900000,79 76 77 0 0 0,218 32 5 0 0 0
Wing,GpuId7157,2694,27.878748328,1.073592078,2.468282374,5.450773470,1.670183188,3.508789647,12.168917972,-4.047653649,2.921542862,1.291253302,-22.064237240,20.122710093,0.905371919,-20.702585788,20.336450352,1.584140000,-23.075700000,20.331900000,79 76 77 0 0 0,217 32 5 0 0 0
Wing,GpuId7157,2893,27.878748328,1.073592078,2.468282374,5.450773470,1.670183188,3.508789647,12.168917972,-4.047653649,2.921542862,1.291253302,-22.064237240,20.122710093,0.905371919,-20.702585788,20.336450352,1.584140000,-23.075700000,20.331900000,79 76 77 0 0 0,217 32 5 0 0 0
Wing,GpuId7157,3949,27.878748328,1.073592078,2.468282374,5.450773470,1.670183188,3.508789647,12.168917972,-4.047653649,2.921542862,1.291253302,-22.064237240,20.122710093,0.905371919,-20.702585788,20.336450352,1.584140000,-23.075700000,20.331900000,79 76 77 0 0 0,217 32 5 0 0 0
Wing,GpuId7157,5106,38.517417421,1.072885173,2.678049915,-5.320801912,1.669032302,3.427334319,-11.064117445,-4.227388002,3.810485299,-10.249413081,-19.967631096,38.296447343,-10.378280552,-18.414385560,37.853178455,-9.962910000,-20.986300000,38.473400000,60 61 62 63 0 0,215 30 5 5 0 0
Wing,GpuId7157,2778,27.845129602,1.071746712,2.426649271,5.428868151,1.657601909,3.508595243,12.146170925,-4.025084723,2.960220810,1.309624098,-22.017036237,20.159625955,0.929312419,-20.694991109,20.377512212,1.601050000,-23.026800000,20.369600000,79 76 77 0 0 0,218 32 5 0 0 0
Wing,GpuId7157,5271,27.845129602,1.071746712,2.426649271,5.428868151,1.657601909,3.508595243,12.146170925,-4.025084723,2.960220810,1.309624098,-22.017036237,20.159625955,0.929312419,-20.694991109,20.377512212,1.601050000,-23.026800000,20.369600000,79 76 77 0 0 0,218 32 5 0 0 0
Wing,GpuId7157,6680,27.892147212,1.070855876,2.398018504,5.395279996,1.759795375,3.424418257,12.044250332,-3.874218645,2.757976692,1.091266586,-21.753341499,20.111385595,0.700325272,-20.471121303,20.423703762,1.392110000,-22.763800000,20.299000000,79 76 77 0 0 0,218 33 5 0 0 0
Wing,GpuId7157,107,38.732524133,1.068414874,2.878723744,-5.468297725,1.690088288,3.406533078,-11.162404344,-4.417402603,3.632577785,-10.439074772,-20.320929721,38.288322664,-10.625605626,-18.563412416,37.845125948,-10.151000000,-21.335300000,38.460300000,60 61 62 63 0 0,209 34 7 5 0 0
Wing,GpuId7157,992,38.732524133,1.068414874,2.878723744,-5.468297725,1.690088288,3.406533078,-11.162404344,-4.417402603,3.632577785,-10.439074772,-20.320929721,38.288322664,-10.625605626,-18.563412416,37.845125948,-10.151000000,-21.335300000,38.460300000,60 61 62 63 0 0,209 34 7 5 0 0
Wing,GpuId7157,42,38.500312464,1.063082814,2.637194202,-5.329077255,1.641908006,3.418002921,-11.030274470,-4.275117126,3.822063318,-10.221295753,-20.056537972,38.281277318,-10.366170712,-18.531603593,37.862677028,-9.932850000,-21.065600000,38.450800000,60 61 62 63 0 0,215 30 5 5 0 0
